Char & codepoint,Comments,Classic,MavenProSmall,amh18,bigfont,bigupper,chalkboard,chickn24,handwriting_institute,handwriting_neat,smallfont,symbols,threefiv,typewriter
! - 0021,✓ = Finished,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0021.png,✓,✓
""" - 0022",NO = Needs offsets,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0022.png,✓,✓
# - 0023,U = Unfinished,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0023.png,✓,✓
$ - 0024,Updated by GitHub Actions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0024.png,✓,✓
% - 0025,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0025.png,✓,✓
& - 0026,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0026.png,✓,✓
' - 0027,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0027.png,✓,✓
( - 0028,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0028.png,✓,✓
) - 0029,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0029.png,✓,✓
* - 002A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 002A.png,✓,✓
+ - 002B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 002B.png,✓,✓
", - 002C",,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 002C.png,✓,✓
- - 002D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 002D.png,✓,✓
. - 002E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 002E.png,✓,✓
/ - 002F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 002F.png,✓,✓
0 - 0030,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0030.png,✓,✓
1 - 0031,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0031.png,✓,✓
2 - 0032,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0032.png,✓,✓
3 - 0033,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0033.png,✓,✓
4 - 0034,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0034.png,✓,✓
5 - 0035,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0035.png,✓,✓
6 - 0036,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0036.png,✓,✓
7 - 0037,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0037.png,✓,✓
8 - 0038,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0038.png,✓,✓
9 - 0039,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0039.png,✓,✓
: - 003A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 003A.png,✓,✓
; - 003B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 003B.png,✓,✓
< - 003C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 003C.png,✓,✓
= - 003D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 003D.png,✓,✓
> - 003E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 003E.png,✓,✓
? - 003F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 003F.png,✓,✓
A - 0041,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0041.png,✓,✓
B - 0042,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0042.png,✓,✓
C - 0043,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0043.png,✓,✓
D - 0044,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0044.png,✓,✓
E - 0045,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0045.png,✓,✓
F - 0046,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0046.png,✓,✓
G - 0047,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0047.png,✓,✓
H - 0048,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0048.png,✓,✓
I - 0049,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0049.png,✓,✓
J - 004A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 004A.png,✓,✓
K - 004B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 004B.png,✓,✓
L - 004C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 004C.png,✓,✓
M - 004D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 004D.png,✓,✓
N - 004E,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 004E.png,✓,✓
O - 004F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 004F.png,✓,✓
P - 0050,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0050.png,✓,✓
Q - 0051,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0051.png,✓,✓
R - 0052,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0052.png,✓,✓
S - 0053,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0053.png,✓,✓
T - 0054,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0054.png,✓,✓
U - 0055,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0055.png,✓,✓
V - 0056,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0056.png,✓,✓
W - 0057,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0057.png,✓,✓
X - 0058,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0058.png,✓,✓
Y - 0059,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0059.png,✓,✓
Z - 005A,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005A.png,✓,✓
[ - 005B,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005B.png,✓,✓
\ - 005C,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005C.png,✓,✓
] - 005D,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005D.png,✓,✓
_ - 005F,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 005F.png,✓,✓
` - 0060,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0060.png,✓,✓
a - 0061,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0061.png,✓,✓
b - 0062,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0062.png,✓,✓
c - 0063,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0063.png,✓,✓
d - 0064,,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,U -> 0064.png,✓,✓
