Identifier,Remarks,en enu eng enc ena enz eni ens enj enb enl ent enw,default,de,es,ru,ptb pt br,it,tr trk,fr,cs,pl plk
,"IMPORTANT INFO: BECAUSE OF VANDALISM, USER RIGHTS HAVE BEEN RESET, PLEASE SEND ME AN E-MAIL TO INFO@REALM667.COM WITH YOUR E-MAIL AND THE LANGUAGE YOU ARE TRANSLATING INTO, SO I CAN GIVE YOU PROPER EDITING RIGHTS. SORRY FOR THE EFFORT AND THANKS FOR UNDERSTANDING.",just there for reference,,,,,,,,,,
,"CREDITS FOR TRANSLATORS: Credits where credit is due. If you have supported us with translating the english texts into other languages, we want to add you properly to the credits. So if you haven't been added yet, please let us know and we add your name to the credits - see https://github.com/Realm667/WolfenDoom/blob/master/wolf_boa_cr.txt which is always up to date.",,,,,,,,,,,
,"HINTS FOR TRANSLATORS: To make your life easier, you want to check https://www.deepl.com - it's a powerful software and one month is completely for free. The automatic translations are not perfect but it's very easy to work with them as a base and finalize them manually later. This speeds up the whole process of translating the game's text content. EDIT: When using automatic translations, please repair the text as it seems to mess with it. It adds extra gaps (especially) to color formating tags as this ""\cC"", and also messes with sentence punctuation.",,"The row D5:M5 shows, what exact cell(s) in column B (identifier) is(are) untranslated. Now english language has been moved to Default to avoid empty strings for those which are incomplete.",,,,,,,,,
,"MASTER VERSION: The language.csv in the Wolfenstein Blade of Agony repo is NOT the ""master"" version - see https://docs.google.com/spreadsheets/d/1Nok0lZ7fX9mKLRf7TItqsllhdIVSC8jt_L9otCBP0bs/edit?usp=sharing for the ""master"" version",,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*,*NO EMPTY CELL*
,,,,,,,,,,,,
TRANSLATION FINISHED %,2635,,"100,00%","100,08%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"
,Quit Messages,,,,,,,,,,,
QUITMSG,"INFO FOR TESTING: Ingame dialogue and briefing messages can be tested ingame on TEST_DLG. To go to TEST_DLG, open the console, and type ""map test_dlg""",,\cCSure you don't want to shoot any more Nazis?,"\cCSicher, dass Du keine Nazis mehr abknallen willst?",\cC¿Seguro de que no quieres dispararles a más nazis?,\cCНе хотите расстрелять ещё пару нацистов?,\cCTem certeza de que não quer atirar em mais nenhum nazista?,\cCSicuro di non voler sparare contro altri Nazisti?,\cCArtık daha fazla Nazi vurmak istemediğinizden emin misiniz?,"\cCBah alors, tu veux plus buter du Nazi?",\cCUrčitě nechceš střílet další Nácky?,\cCNa pewno nie chcesz już strzelać do nazistów?
QUITMSG1,"INFO FOR CHANGES: If the original language entry (enu, column D) gets changed after a translation has already been done (column E to J), the translated text in these columns will be marked with a red border, indicating that the translation needs to be updated according to the original english string. As soon as the translated text has been updated, simply remove the red border again. E.g. if a string in enu gets changed, all the existing translations in de, es, ... get a red border. As soon as the translations are adjusted to the edited original in english, remove the border. NEVER GIVE A RED BORDER TO ENGLISH CELLS. PLEASE WHILE EDITING CELLS, DO NOT USE TABS AT END OF LINE OR DO NOT FORGET ZONES WHICH HAVE BEEN FINISHED PRESSING ENTER KEY",,"\cCIn case you hadn't noticed, there is a Nazi invasion going on.","\cCFalls Du es noch nicht bemerkt hast, WIR BEFINDEN UNS IN EINER NAZI-INVASION.","\cCEn caso de que no lo hayas notado, hay una invasión nazi en este momento.","\cCНацисты продолжают наступление, если Вы не заметили.","\cCCaso você não tenha percebido, está acontecendo uma invasão nazista.","\cCNel caso non l'avessi notato, c'è un'invasione di Nazisti in corso.","\cCFark etmemiş olabilirsiniz, ama bir Nazi işgali yaşanıyor.","\cCAu cas où t'aurais pas remarqué, on a une invasion de Nazis là.","\cCJestli sis nevšiml, právě probíhá invaze Nácků.","\cCJeśli nie zauważyłeś, trwa nazistowska inwazja."
QUITMSG2,fontchars.csv is now automatically updated whenever a font or the language.csv is updated - Talon1024,,\cCI implore you to reconsider.,"\cCIch bitte Dich inständig darum, noch einmal gründlich drüber nachzudenken.",\cCTe imploro que reconsideres.,\cCЯ очень Вас прошу: подумайте ещё раз!,\cCImploro que reconsidere.,\cCTi prego di ripensarci.,\cCLütfen kararınızı yeniden gözden geçirmenizi rica ediyorum.,"\cCAllez quoi, change d'avis.","\cCZapřísahám tě, ještě to zvaž.",\cCUprasza się o ponowne rozważenie decyzji.
